cliente_id,cliente,dni,email,ciudad,pais,tienda,estado,cantidad_ventas,total_vendido
293,MAE FLETCHER,40000293,MAE.FLETCHER@sakilacustomer.org,Donostia-San Sebastián,Spain,2,activo,31,158.69
372,STEVE MACKENZIE,40000372,STEVE.MACKENZIE@sakilacustomer.org,Probolinggo,Indonesia,2,activo,34,158.66
273,PRISCILLA LOWE,40000273,PRISCILLA.LOWE@sakilacustomer.org,Salamanca,Mexico,2,activo,35,157.65
368,HARRY ARCE,40000368,HARRY.ARCE@sakilacustomer.org,Najafabad,Iran,1,inactivo,35,157.65
1,MARY SMITH,40000001,MARY.SMITH@sakilacustomer.org,Sasebo,Japan,1,activo,45,157.55
346,ARTHUR SIMPKINS,40000346,ARTHUR.SIMPKINS@sakilacustomer.org,Maikop,Russian Federation,1,activo,32,155.68
21,MICHELLE CLARK,40000021,MICHELLE.CLARK@sakilacustomer.org,Tangail,Bangladesh,1,activo,35,155.65
75,TAMMY SANDERS,40000075,TAMMY.SANDERS@sakilacustomer.org,Changhwa,Taiwan,2,activo,41,155.59
7,MARIA MILLER,40000007,MARIA.MILLER@sakilacustomer.org,Kragujevac,Yugoslavia,1,activo,34,154.66
197,SUE PETERS,40000197,SUE.PETERS@sakilacustomer.org,Changzhou,China,2,activo,40,154.6
119,SHERRY MARSHALL,40000119,SHERRY.MARSHALL@sakilacustomer.org,Shubra al-Khayma,Egypt,1,activo,34,153.66
532,NEIL RENNER,40000532,NEIL.RENNER@sakilacustomer.org,Cam Ranh,Vietnam,2,activo,32,152.68
390,SHAWN HEATON,40000390,SHAWN.HEATON@sakilacustomer.org,Nakhon Sawan,Thailand,1,activo,33,152.67
26,JESSICA HALL,40000026,JESSICA.HALL@sakilacustomer.org,Città del Vaticano,Holy See (Vatican City State),2,activo,34,152.66
274,NAOMI JENNINGS,40000274,NAOMI.JENNINGS@sakilacustomer.org,Karnal,India,1,activo,35,152.65
506,LESLIE SEWARD,40000506,LESLIE.SEWARD@sakilacustomer.org,Pontianak,Indonesia,2,activo,35,152.65
366,BRANDON HUEY,40000366,BRANDON.HUEY@sakilacustomer.org,Balikesir,Turkey,1,activo,37,152.63
454,ALEX GRESHAM,40000454,ALEX.GRESHAM@sakilacustomer.org,Uruapan,Mexico,2,activo,33,151.67
211,STACEY MONTGOMERY,40000211,STACEY.MONTGOMERY@sakilacustomer.org,Fuyu,China,1,activo,34,151.66
196,ALMA AUSTIN,40000196,ALMA.AUSTIN@sakilacustomer.org,Mannheim,Germany,1,activo,35,151.65
439,ALEXANDER FENNELL,40000439,ALEXANDER.FENNELL@sakilacustomer.org,Bergamo,Italy,2,activo,36,151.64
257,MARSHA DOUGLAS,40000257,MARSHA.DOUGLAS@sakilacustomer.org,Beira,Mozambique,2,activo,37,151.63
360,RALPH MADRIGAL,40000360,RALPH.MADRIGAL@sakilacustomer.org,Arecibo,Puerto Rico,2,activo,34,150.66
371,BILLY POULIN,40000371,BILLY.POULIN@sakilacustomer.org,Cabuyao,Philippines,1,activo,35,149.65
513,DUANE TUBBS,40000513,DUANE.TUBBS@sakilacustomer.org,Yangor,Nauru,2,activo,31,148.69
86,JACQUELINE LONG,40000086,JACQUELINE.LONG@sakilacustomer.org,Songkhla,Thailand,2,activo,33,148.67
309,CHRISTOPHER GRECO,40000309,CHRISTOPHER.GRECO@sakilacustomer.org,Brescia,Italy,1,activo,31,147.69
204,ROSEMARY SCHMIDT,40000204,ROSEMARY.SCHMIDT@sakilacustomer.org,Usak,Turkey,1,activo,35,147.65
5,ELIZABETH BROWN,40000005,ELIZABETH.BROWN@sakilacustomer.org,Nantou,Taiwan,1,activo,39,147.61
103,GLADYS HAMILTON,40000103,GLADYS.HAMILTON@sakilacustomer.org,Ilorin,Nigeria,1,activo,31,146.69
479,ZACHARY HITE,40000479,ZACHARY.HITE@sakilacustomer.org,Akron,United States,1,activo,31,146.69
348,ROGER QUINTANILLA,40000348,ROGER.QUINTANILLA@sakilacustomer.org,Hsichuh,Taiwan,2,activo,36,146.64
87,WANDA PATTERSON,40000087,WANDA.PATTERSON@sakilacustomer.org,Sincelejo,Colombia,1,activo,30,145.7
362,NICHOLAS BARFIELD,40000362,NICHOLAS.BARFIELD@sakilacustomer.org,Belém,Brazil,1,activo,32,145.68
172,BERNICE WILLIS,40000172,BERNICE.WILLIS@sakilacustomer.org,Batman,Turkey,1,activo,33,145.67
436,TROY QUIGLEY,40000436,TROY.QUIGLEY@sakilacustomer.org,Vancouver,Canada,1,activo,30,144.7
277,OLGA JIMENEZ,40000277,OLGA.JIMENEZ@sakilacustomer.org,Ogbomosho,Nigeria,2,activo,32,144.68
237,TANYA GILBERT,40000237,TANYA.GILBERT@sakilacustomer.org,Naju,South Korea,1,activo,33,144.67
66,JANICE WARD,40000066,JANICE.WARD@sakilacustomer.org,Malmö,Sweden,2,activo,34,144.66
337,JERRY JORDON,40000337,JERRY.JORDON@sakilacustomer.org,Onomichi,Japan,1,activo,29,143.71
363,ROY WHITING,40000363,ROY.WHITING@sakilacustomer.org,Nyeri,Kenya,2,activo,29,143.71
120,SYLVIA ORTIZ,40000120,SYLVIA.ORTIZ@sakilacustomer.org,Dos Quebradas,Colombia,2,activo,32,143.68
289,VIOLET RODRIQUEZ,40000289,VIOLET.RODRIQUEZ@sakilacustomer.org,Kowloon and New Kowloon,Hong Kong,1,activo,30,142.7
347,RYAN SALISBURY,40000347,RYAN.SALISBURY@sakilacustomer.org,Daugavpils,Latvia,2,activo,30,142.7
46,CATHERINE CAMPBELL,40000046,CATHERINE.CAMPBELL@sakilacustomer.org,Moscow,Russian Federation,2,activo,34,142.66
239,MINNIE ROMERO,40000239,MINNIE.ROMERO@sakilacustomer.org,Ciomas,Indonesia,2,activo,34,142.66
39,DEBRA NELSON,40000039,DEBRA.NELSON@sakilacustomer.org,Vila Velha,Brazil,1,activo,29,141.71
472,GREG ROBINS,40000472,GREG.ROBINS@sakilacustomer.org,Nam Dinh,Vietnam,1,activo,30,141.7
78,LORI WOOD,40000078,LORI.WOOD@sakilacustomer.org,Rae Bareli,India,1,activo,31,141.69
84,SARA PERRY,40000084,SARA.PERRY@sakilacustomer.org,Atlixco,Mexico,2,activo,33,141.67
533,JESSIE MILAM,40000533,JESSIE.MILAM@sakilacustomer.org,Binzhou,China,1,activo,33,141.67
566,CASEY MENA,40000566,CASEY.MENA@sakilacustomer.org,Tokat,Turkey,1,activo,34,141.66
198,ELSIE KELLEY,40000198,ELSIE.KELLEY@sakilacustomer.org,Ikerre,Nigeria,2,activo,37,141.63
494,RAMON CHOATE,40000494,RAMON.CHOATE@sakilacustomer.org,Ríobamba,Ecuador,2,activo,31,140.69
242,GLENDA FRAZIER,40000242,GLENDA.FRAZIER@sakilacustomer.org,Qinhuangdao,China,1,activo,32,140.68
29,ANGELA HERNANDEZ,40000029,ANGELA.HERNANDEZ@sakilacustomer.org,Shimonoseki,Japan,2,activo,36,140.64
146,JAMIE RICE,40000146,JAMIE.RICE@sakilacustomer.org,Sterling Heights,United States,1,activo,29,139.71
467,ALVIN DELOACH,40000467,ALVIN.DELOACH@sakilacustomer.org,Cuauhtémoc,Mexico,2,activo,29,139.71
404,STANLEY SCROGGINS,40000404,STANLEY.SCROGGINS@sakilacustomer.org,Omiya,Japan,2,activo,30,139.7
484,ROBERTO VU,40000484,ROBERTO.VU@sakilacustomer.org,Yinchuan,China,1,activo,30,139.7
114,GRACE ELLIS,40000114,GRACE.ELLIS@sakilacustomer.org,Duisburg,Germany,2,activo,33,139.67
576,MORRIS MCCARTER,40000576,MORRIS.MCCARTER@sakilacustomer.org,Fengshan,Taiwan,2,activo,34,139.66
349,JOE GILLILAND,40000349,JOE.GILLILAND@sakilacustomer.org,Imus,Philippines,2,activo,29,138.71
482,MAURICE CRAWLEY,40000482,MAURICE.CRAWLEY@sakilacustomer.org,Coatzacoalcos,Mexico,1,inactivo,29,138.71
306,CHARLES KOWALSKI,40000306,CHARLES.KOWALSKI@sakilacustomer.org,Sungai Petani,Malaysia,1,activo,32,138.68
51,ALICE STEWART,40000051,ALICE.STEWART@sakilacustomer.org,Fontana,United States,1,activo,33,138.67
502,BRETT CORNWELL,40000502,BRETT.CORNWELL@sakilacustomer.org,Siliguri (Shiliguri),India,1,activo,34,138.66
80,MARILYN ROSS,40000080,MARILYN.ROSS@sakilacustomer.org,Ife,Nigeria,1,activo,30,137.7
210,ELLA OLIVER,40000210,ELLA.OLIVER@sakilacustomer.org,Aden,Yemen,2,activo,31,137.69
300,JOHN FARNSWORTH,40000300,JOHN.FARNSWORTH@sakilacustomer.org,Parbhani,India,1,activo,31,137.69
102,CRYSTAL FORD,40000102,CRYSTAL.FORD@sakilacustomer.org,Ashdod,Israel,1,activo,33,137.67
207,GERTRUDE CASTILLO,40000207,GERTRUDE.CASTILLO@sakilacustomer.org,Nuuk,Greenland,1,activo,34,137.66
200,JEANNE LAWSON,40000200,JEANNE.LAWSON@sakilacustomer.org,Ashgabat,Turkmenistan,2,activo,27,136.73
380,RUSSELL BRINSON,40000380,RUSSELL.BRINSON@sakilacustomer.org,Tychy,Poland,1,activo,36,136.64
3,LINDA WILLIAMS,40000003,LINDA.WILLIAMS@sakilacustomer.org,Athenai,Greece,1,activo,26,135.74
285,MIRIAM MCKINNEY,40000285,MIRIAM.MCKINNEY@sakilacustomer.org,Otsu,Japan,1,activo,26,135.74
558,JIMMIE EGGLESTON,40000558,JIMMIE.EGGLESTON@sakilacustomer.org,Wroclaw,Poland,1,inactivo,28,135.72
448,MIGUEL BETANCOURT,40000448,MIGUEL.BETANCOURT@sakilacustomer.org,Erlangen,Germany,1,activo,29,135.71
56,GLORIA COOK,40000056,GLORIA.COOK@sakilacustomer.org,Papeete,French Polynesia,1,activo,30,135.7
334,RAYMOND MCWHORTER,40000334,RAYMOND.MCWHORTER@sakilacustomer.org,Sumqayit,Azerbaijan,2,activo,30,135.7
279,DIANNE SHELTON,40000279,DIANNE.SHELTON@sakilacustomer.org,Tabriz,Iran,2,activo,31,135.69
125,ETHEL WEBB,40000125,ETHEL.WEBB@sakilacustomer.org,Boksburg,South Africa,1,activo,32,135.68
535,JAVIER ELROD,40000535,JAVIER.ELROD@sakilacustomer.org,NDjamna,Chad,1,activo,32,135.68
168,REGINA BERRY,40000168,REGINA.BERRY@sakilacustomer.org,Jinchang,China,1,activo,34,135.66
591,KENT ARSENAULT,40000591,KENT.ARSENAULT@sakilacustomer.org,Juiz de Fora,Brazil,1,activo,27,134.73
307,JOSEPH JOY,40000307,JOSEPH.JOY@sakilacustomer.org,Angra dos Reis,Brazil,2,activo,30,134.7
15,HELEN HARRIS,40000015,HELEN.HARRIS@sakilacustomer.org,Bhopal,India,1,activo,32,134.68
89,JULIA FLORES,40000089,JULIA.FLORES@sakilacustomer.org,La Plata,Argentina,1,activo,32,134.68
520,MITCHELL WESTMORELAND,40000520,MITCHELL.WESTMORELAND@sakilacustomer.org,Nha Trang,Vietnam,2,activo,32,134.68
569,DAVE GARDINER,40000569,DAVE.GARDINER@sakilacustomer.org,Leshan,China,2,activo,32,134.68
438,BARRY LOVELACE,40000438,BARRY.LOVELACE@sakilacustomer.org,Kitwe,Zambia,1,activo,33,134.67
473,JORGE OLIVARES,40000473,JORGE.OLIVARES@sakilacustomer.org,Lhokseumawe,Indonesia,2,activo,34,134.66
433,DON BONE,40000433,DON.BONE@sakilacustomer.org,Naçala-Porto,Mozambique,1,activo,25,133.75
59,CHERYL MURPHY,40000059,CHERYL.MURPHY@sakilacustomer.org,Mysore,India,1,activo,27,133.73
92,TINA SIMMONS,40000092,TINA.SIMMONS@sakilacustomer.org,Goiânia,Brazil,2,activo,28,133.72
504,NATHANIEL ADAM,40000504,NATHANIEL.ADAM@sakilacustomer.org,Joliet,United States,1,activo,28,133.72
179,DANA HART,40000179,DANA.HART@sakilacustomer.org,Kirovo-Tšepetsk,Russian Federation,1,activo,29,133.71
265,JENNIE TERRY,40000265,JENNIE.TERRY@sakilacustomer.org,Olomouc,Czech Republic,2,activo,29,133.71
112,ROSA REYNOLDS,40000112,ROSA.REYNOLDS@sakilacustomer.org,Lancaster,United States,2,activo,30,133.7
221,BESSIE MORRISON,40000221,BESSIE.MORRISON@sakilacustomer.org,Syrakusa,Italy,1,activo,28,132.72
316,STEVEN CURLEY,40000316,STEVEN.CURLEY@sakilacustomer.org,Miraj,India,1,activo,29,132.71
108,TRACY COLE,40000108,TRACY.COLE@sakilacustomer.org,Huixquilucan,Mexico,1,activo,30,132.7
319,RONALD WEINER,40000319,RONALD.WEINER@sakilacustomer.org,San Felipe del Progreso,Mexico,2,activo,30,132.7
560,JORDAN ARCHULETA,40000560,JORDAN.ARCHULETA@sakilacustomer.org,Avellaneda,Argentina,1,activo,30,132.7
245,COURTNEY DAY,40000245,COURTNEY.DAY@sakilacustomer.org,Uijongbu,South Korea,1,activo,32,132.68
13,KAREN JACKSON,40000013,KAREN.JACKSON@sakilacustomer.org,Osmaniye,Turkey,2,activo,27,131.73
2,PATRICIA JOHNSON,40000002,PATRICIA.JOHNSON@sakilacustomer.org,San Bernardino,United States,1,activo,28,131.72
299,JAMES GANNON,40000299,JAMES.GANNON@sakilacustomer.org,Hiroshima,Japan,2,activo,30,131.7
314,GEORGE LINTON,40000314,GEORGE.LINTON@sakilacustomer.org,Sorocaba,Brazil,1,activo,33,131.67
82,KATHRYN COLEMAN,40000082,KATHRYN.COLEMAN@sakilacustomer.org,Simferopol,Ukraine,1,activo,26,130.74
594,EDUARDO HIATT,40000594,EDUARDO.HIATT@sakilacustomer.org,Jining,China,1,activo,27,130.73
49,JOYCE EDWARDS,40000049,JOYCE.EDWARDS@sakilacustomer.org,Jedda,Saudi Arabia,2,activo,28,130.72
154,MICHELE GRANT,40000154,MICHELE.GRANT@sakilacustomer.org,Yuncheng,China,2,activo,30,130.7
141,DEBBIE REYES,40000141,DEBBIE.REYES@sakilacustomer.org,Fukuyama,Japan,1,activo,32,130.68
342,HAROLD MARTINO,40000342,HAROLD.MARTINO@sakilacustomer.org,Boa Vista,Brazil,1,activo,32,130.68
497,GILBERT SLEDGE,40000497,GILBERT.SLEDGE@sakilacustomer.org,York,United Kingdom,2,activo,28,129.72
589,TRACY HERRMANN,40000589,TRACY.HERRMANN@sakilacustomer.org,Loja,Ecuador,1,activo,28,129.72
71,KATHY JAMES,40000071,KATHY.JAMES@sakilacustomer.org,Baybay,Philippines,1,activo,30,129.7
269,CASSANDRA WALTERS,40000269,CASSANDRA.WALTERS@sakilacustomer.org,Salinas,United States,1,activo,30,129.7
296,RAMONA HALE,40000296,RAMONA.HALE@sakilacustomer.org,Patiala,India,2,activo,30,129.7
584,SALVADOR TEEL,40000584,SALVADOR.TEEL@sakilacustomer.org,Banjul,Gambia,2,activo,30,129.7
35,VIRGINIA GREEN,40000035,VIRGINIA.GREEN@sakilacustomer.org,Toulouse,France,2,activo,32,129.68
244,VIOLA HANSON,40000244,VIOLA.HANSON@sakilacustomer.org,Lapu-Lapu,Philippines,2,activo,32,129.68
354,JUSTIN NGO,40000354,JUSTIN.NGO@sakilacustomer.org,Santo André,Brazil,2,activo,36,129.64
434,EDDIE TOMLIN,40000434,EDDIE.TOMLIN@sakilacustomer.org,Ozamis,Philippines,1,activo,27,128.73
322,JASON MORRISSEY,40000322,JASON.MORRISSEY@sakilacustomer.org,Bahía Blanca,Argentina,1,activo,28,128.72
54,TERESA ROGERS,40000054,TERESA.ROGERS@sakilacustomer.org,Iwakuni,Japan,1,activo,29,128.71
131,MONICA HICKS,40000131,MONICA.HICKS@sakilacustomer.org,Mukatševe,Ukraine,2,activo,30,128.7
297,SHERRI RHODES,40000297,SHERRI.RHODES@sakilacustomer.org,Ahmadnagar,India,1,activo,33,128.67
451,JIM REA,40000451,JIM.REA@sakilacustomer.org,El Fuerte,Mexico,1,activo,33,128.67
508,MILTON HOWLAND,40000508,MILTON.HOWLAND@sakilacustomer.org,Vijayawada,India,2,activo,25,127.75
45,JANET PHILLIPS,40000045,JANET.PHILLIPS@sakilacustomer.org,Antofagasta,Chile,1,activo,27,127.73
32,AMY LOPEZ,40000032,AMY.LOPEZ@sakilacustomer.org,Jhansi,India,1,activo,29,127.71
253,TERRY CARLSON,40000253,TERRY.CARLSON@sakilacustomer.org,Miyakonojo,Japan,1,activo,29,127.71
302,MICHAEL SILVERMAN,40000302,MICHAEL.SILVERMAN@sakilacustomer.org,Tiefa,China,1,activo,29,127.71
339,WALTER PERRYMAN,40000339,WALTER.PERRYMAN@sakilacustomer.org,Xinxiang,China,2,activo,30,127.7
128,MARJORIE TUCKER,40000128,MARJORIE.TUCKER@sakilacustomer.org,Jastrzebie-Zdrój,Poland,1,activo,32,127.68
329,FRANK WAGGONER,40000329,FRANK.WAGGONER@sakilacustomer.org,Jamalpur,Bangladesh,2,activo,32,127.68
38,MARTHA GONZALEZ,40000038,MARTHA.GONZALEZ@sakilacustomer.org,Chisinau,Moldova,1,activo,34,127.66
147,JOANNE ROBERTSON,40000147,JOANNE.ROBERTSON@sakilacustomer.org,Urawa,Japan,2,activo,34,127.66
206,TERRI VASQUEZ,40000206,TERRI.VASQUEZ@sakilacustomer.org,Blumenau,Brazil,1,activo,27,126.73
426,BRADLEY MOTLEY,40000426,BRADLEY.MOTLEY@sakilacustomer.org,Purnea (Purnia),India,1,activo,27,126.73
284,SONIA GREGORY,40000284,SONIA.GREGORY@sakilacustomer.org,Benin City,Nigeria,1,activo,28,126.72
515,ANDRE RAPP,40000515,ANDRE.RAPP@sakilacustomer.org,Coquimbo,Chile,1,activo,28,126.72
565,JAIME NETTLES,40000565,JAIME.NETTLES@sakilacustomer.org,Huánuco,Peru,2,activo,29,126.71
575,ISAAC OGLESBY,40000575,ISAAC.OGLESBY@sakilacustomer.org,Cuernavaca,Mexico,2,activo,29,126.71
107,FLORENCE WOODS,40000107,FLORENCE.WOODS@sakilacustomer.org,Merlo,Argentina,1,activo,30,126.7
27,SHIRLEY ALLEN,40000027,SHIRLEY.ALLEN@sakilacustomer.org,Davao,Philippines,2,activo,31,126.69
122,THELMA MURRAY,40000122,THELMA.MURRAY@sakilacustomer.org,Lima,Peru,1,activo,32,126.68
158,VERONICA STONE,40000158,VERONICA.STONE@sakilacustomer.org,Greensboro,United States,1,activo,32,126.68
19,RUTH MARTINEZ,40000019,RUTH.MARTINEZ@sakilacustomer.org,Kimberley,South Africa,1,activo,24,125.76
389,ALAN KAHN,40000389,ALAN.KAHN@sakilacustomer.org,Emeishan,China,1,activo,26,124.74
491,RICK MATTOX,40000491,RICK.MATTOX@sakilacustomer.org,Mit Ghamr,Egypt,2,activo,27,124.73
400,BRYAN HARDISON,40000400,BRYAN.HARDISON@sakilacustomer.org,Dallas,United States,2,activo,28,124.72
388,CRAIG MORRELL,40000388,CRAIG.MORRELL@sakilacustomer.org,Cavite,Philippines,2,activo,30,124.7
230,JOY GEORGE,40000230,JOY.GEORGE@sakilacustomer.org,Botosani,Romania,2,activo,33,124.67
129,CARRIE PORTER,40000129,CARRIE.PORTER@sakilacustomer.org,Liaocheng,China,1,activo,34,124.66
166,LYNN PAYNE,40000166,LYNN.PAYNE@sakilacustomer.org,Lilongwe,Malawi,1,activo,28,123.72
268,NINA SOTO,40000268,NINA.SOTO@sakilacustomer.org,Palghat (Palakkad),India,1,activo,29,123.71
499,MARC OUTLAW,40000499,MARC.OUTLAW@sakilacustomer.org,Brindisi,Italy,2,activo,30,123.7
30,MELISSA KING,40000030,MELISSA.KING@sakilacustomer.org,Lungtan,Taiwan,1,activo,34,123.66
510,BEN EASTER,40000510,BEN.EASTER@sakilacustomer.org,Kamyšin,Russian Federation,2,inactivo,26,122.74
331,ERIC ROBERT,40000331,ERIC.ROBERT@sakilacustomer.org,Santa Fé,Argentina,1,activo,27,122.73
276,BRANDY GRAVES,40000276,BRANDY.GRAVES@sakilacustomer.org,Warren,United States,1,activo,28,122.72
163,CATHY SPENCER,40000163,CATHY.SPENCER@sakilacustomer.org,Kakamigahara,Japan,1,activo,29,122.71
263,HILDA HOPKINS,40000263,HILDA.HOPKINS@sakilacustomer.org,Mandaluyong,Philippines,1,activo,29,122.71
260,CHRISTY VARGAS,40000260,CHRISTY.VARGAS@sakilacustomer.org,Datong,China,1,activo,31,122.69
406,NATHAN RUNYON,40000406,NATHAN.RUNYON@sakilacustomer.org,Charlotte Amalie,"Virgin Islands, U.S.",1,inactivo,32,122.68
241,HEIDI LARSON,40000241,HEIDI.LARSON@sakilacustomer.org,Xi´angfan,China,2,inactivo,34,122.66
571,JOHNNIE CHISHOLM,40000571,JOHNNIE.CHISHOLM@sakilacustomer.org,Plock,Poland,2,activo,24,121.76
149,VALERIE BLACK,40000149,VALERIE.BLACK@sakilacustomer.org,Brockton,United States,1,activo,26,121.74
356,GERALD FULTZ,40000356,GERALD.FULTZ@sakilacustomer.org,Satna,India,2,activo,30,121.7
393,PHILIP CAUSEY,40000393,PHILIP.CAUSEY@sakilacustomer.org,Korolev,Russian Federation,1,activo,31,121.69
416,JEFFERY PINSON,40000416,JEFFERY.PINSON@sakilacustomer.org,Dadu,Pakistan,2,activo,31,121.69
311,PAUL TROUT,40000311,PAUL.TROUT@sakilacustomer.org,Kursk,Russian Federation,2,activo,23,120.77
105,DAWN SULLIVAN,40000105,DAWN.SULLIVAN@sakilacustomer.org,Funafuti,Tuvalu,1,activo,26,120.74
225,ARLENE HARVEY,40000225,ARLENE.HARVEY@sakilacustomer.org,Ambattur,India,1,activo,26,120.74
423,ALFRED CASILLAS,40000423,ALFRED.CASILLAS@sakilacustomer.org,Sawhaj,Egypt,2,activo,26,120.74
495,CHARLIE BESS,40000495,CHARLIE.BESS@sakilacustomer.org,Baiyin,China,2,activo,26,120.74
573,BYRON BOX,40000573,BYRON.BOX@sakilacustomer.org,Zhezqazghan,Kazakstan,1,activo,29,120.71
251,VICKIE BREWER,40000251,VICKIE.BREWER@sakilacustomer.org,Halle/Saale,Germany,2,activo,31,120.69
170,BEATRICE ARNOLD,40000170,BEATRICE.ARNOLD@sakilacustomer.org,Udaipur,India,1,activo,26,119.74
487,HECTOR POINDEXTER,40000487,HECTOR.POINDEXTER@sakilacustomer.org,Pjatigorsk,Russian Federation,2,activo,26,119.74
421,LEE HAWKS,40000421,LEE.HAWKS@sakilacustomer.org,Pudukkottai,India,1,activo,27,119.73
262,PATSY DAVIDSON,40000262,PATSY.DAVIDSON@sakilacustomer.org,Portoviejo,Ecuador,2,activo,28,119.72
173,AUDREY RAY,40000173,AUDREY.RAY@sakilacustomer.org,Graz,Austria,1,activo,29,119.71
23,SARAH LEWIS,40000023,SARAH.LEWIS@sakilacustomer.org,Liepaja,Latvia,2,activo,30,119.7
336,JOSHUA MARK,40000336,JOSHUA.MARK@sakilacustomer.org,Rampur,India,1,activo,30,119.7
340,PATRICK NEWSOM,40000340,PATRICK.NEWSOM@sakilacustomer.org,Hanoi,Vietnam,1,activo,31,119.69
167,SALLY PIERCE,40000167,SALLY.PIERCE@sakilacustomer.org,Chandrapur,India,2,activo,32,119.68
41,STEPHANIE MITCHELL,40000041,STEPHANIE.MITCHELL@sakilacustomer.org,Yerevan,Armenia,1,activo,25,118.75
531,JAMIE WAUGH,40000531,JAMIE.WAUGH@sakilacustomer.org,Kuwana,Japan,2,activo,25,118.75
280,TRACEY BARRETT,40000280,TRACEY.BARRETT@sakilacustomer.org,Owo,Nigeria,2,activo,27,118.73
292,MISTY LAMBERT,40000292,MISTY.LAMBERT@sakilacustomer.org,Sharja,United Arab Emirates,2,activo,27,118.73
16,SANDRA MARTIN,40000016,SANDRA.MARTIN@sakilacustomer.org,Southend-on-Sea,United Kingdom,2,inactivo,28,118.72
266,NORA HERRERA,40000266,NORA.HERRERA@sakilacustomer.org,Salzburg,Austria,2,activo,28,118.72
332,STEPHEN QUALLS,40000332,STEPHEN.QUALLS@sakilacustomer.org,Dhaka,Bangladesh,1,activo,28,118.72
529,ERIK GUILLEN,40000529,ERIK.GUILLEN@sakilacustomer.org,Bhimavaram,India,2,activo,29,118.71
442,LEROY BUSTAMANTE,40000442,LEROY.BUSTAMANTE@sakilacustomer.org,Tongliao,China,1,activo,32,118.68
583,MARSHALL THORN,40000583,MARSHALL.THORN@sakilacustomer.org,Southampton,United Kingdom,1,activo,23,117.77
490,SAM MCDUFFIE,40000490,SAM.MCDUFFIE@sakilacustomer.org,Sogamoso,Colombia,1,activo,24,117.76
585,PERRY SWAFFORD,40000585,PERRY.SWAFFORD@sakilacustomer.org,Quilmes,Argentina,1,activo,24,117.76
536,FERNANDO CHURCHILL,40000536,FERNANDO.CHURCHILL@sakilacustomer.org,Tonghae,South Korea,2,activo,25,117.75
240,MARLENE WELCH,40000240,MARLENE.WELCH@sakilacustomer.org,Iwaki,Japan,1,activo,26,117.74
